circRNA			linear_1			linear_2
chr14:55612018-55619312:+	chr14:55601881-55612018	chr14:55619313-55627911
chr15:64499292-64500166:+	chr15:64460839-64499292	chr15:64500167-64622826
chr3:125277725-125331238:-	chr3:125234330-125277725	chr3:125331239-125375101
chr2:30525586-30533314:+	chr2:30459723-30525586	chr2:30533315-30568059
chr16:4261778-4262701:-	chr16:4260596-4261778	chr16:4262702-4272657
chr17:1534098-1558559:-	chr17:1521646-1534098	chr17:1558560-1562540
chrX:154768301-154769310:+	chrX:154767383-154768301	chrX:154769311-154770758
chr9:83679774-83686155:-	chr9:83678600-83679774	chr9:83686156-83707499
chr19:8884958-8886860:-	chr19:8883863-8884958	chr19:8886861-8913784
chr10:68142939-68150111:+	chr10:68140752-68142939	chr10:68150112-68158485
chr12:120154969-120155719:-	chr12:120153910-120154969	chr12:120155720-120156460
chr7:116699070-116700284:+	chr7:116697739-116699070	chr7:116700285-116731667
chr1:31005852-31007102:-	chr1:30995221-31005852	chr1:31007103-31028795
chr6:136388392-136389517:-	chr6:136383782-136388392	chr6:136389518-136411619
chr4:102304316-102315830:-	chr4:102268080-102304316	chr4:102315831-102344443
chr15:58912562-58916999:-	chr15:58901288-58912562	chr15:58917000-58933403
chr16:346147-347106:-	chr16:319977-346147	chr16:347107-352368
chr1:58506059-58539310:-	chr1:58481175-58506059	chr1:58539311-58545848
chr4:177353307-177360677:+	chr4:177351550-177353307	chr4:177360678-177369968
chr10:91425280-91462184:+	chr10:91410577-91425280	chr10:91462185-91478200
chr10:68025545-68044563:-	chr10:68014187-68025545	chr10:68044564-68072882
chr17:61776400-61780401:-	chr17:61760334-61776400	chr17:61780402-61780839
chr2:36396613-36442735:+	chr2:36388076-36396613	chr2:36442736-36464533
chr5:123364495-123399284:-	chr5:123350090-123364495	chr5:123399285-123412398
chr5:170878096-170896115:+	chr5:170862052-170878096	chr5:170896116-170909660
chr9:22046750-22056387:+	chr9:22046450-22046750	chr9:22056388-22092307
chr5:6604137-6605408:-	chr5:6602594-6604137	chr5:6605409-6606819
chr5:139600371-139614966:+	chr5:139562408-139600371	chr5:139614967-139623367
chr5:180261683-180280608:-	chr5:180249139-180261683	chr5:180280609-180291847
chr22:28724976-28725367:-	chr22:28721632-28724976	chr22:28725368-28734402
chr8:18765448-18804898:-	chr8:18655686-18765448	chr8:18804899-18867673
chr17:20204332-20205912:+	chr17:20156237-20204332	chr17:20205913-20227412
chr1:153665219-153668557:-	chr1:153664475-153665219	chr1:153668558-153669835
chr21:46349011-46349820:+	chr21:46347513-46349011	chr21:46349821-46353103
chr11:33286412-33287511:+	chr11:33258691-33286412	chr11:33287512-33328509
chr8:131940498-131946633:+	chr8:131936817-131940498	chr8:131946634-131949968
chr3:149846010-149921227:+	chr3:149814027-149846010	chr3:149921228-149960055
chr11:77619605-77625818:-	chr11:77616696-77619605	chr11:77625819-77637589
chr7:17890362-17897446:-	chr7:17882948-17890362	chr7:17897447-17940283
chr7:677228-711527:-	chr7:607453-677228	chr7:711528-727589
chr17:82235982-82237893:+	chr17:82235230-82235982	chr17:82237894-82260898
chr3:194459470-194462236:-	chr3:194457175-194459470	chr3:194462237-194486565
chr12:20556659-20654205:+	chr12:20370245-20556659	chr12:20654206-20680029
chr5:14741826-14758598:-	chr5:14716836-14741826	chr5:14758599-14768974
chr18:47865058-47870564:-	chr18:47851328-47865058	chr18:47870565-47896520
chr16:80684537-80685129:-	chr16:80633237-80684537	chr16:80685130-80804149
chr12:112075677-112078741:-	chr12:112074765-112075677	chr12:112078742-112081059
chr9:109106507-109108570:-	chr9:109093592-109106507	chr9:109108571-109119334
chr5:10415487-10417404:+	chr5:10414503-10415487	chr5:10417405-10423734
chr22:20933778-20934244:+	chr22:20918246-20933778	chr22:20934245-20949710
chr12:123586746-123590449:+	chr12:123584817-123586746	chr12:123590450-123596604
chr14:80743074-80778046:-	chr14:80580424-80743074	chr14:80778047-80784894
chrX:134473358-134493590:+	chrX:134460339-134473358	chrX:134493591-134498389
chr12:122340752-122341697:-	chr12:122336749-122340752	chr12:122341698-122352736
chr10:68014025-68073686:-	chr10:67996139-68014025	chr10:68073687-68075143
chr2:31891991-31932135:-	chr2:31883463-31891991	chr2:31932136-31943004
chr17:79077429-79077864:+	chr17:79075091-79077429	chr17:79077865-79079488
chr11:68347846-68365702:+	chr11:68312806-68347846	chr11:68365703-68386315
chr4:143543508-143543972:+	chr4:143540496-143543508	chr4:143543973-143544736
chr6:160397978-160410846:+	chr6:160392496-160397978	chr6:160410847-160442760
chr3:119500694-119513719:+	chr3:119498943-119500694	chr3:119513720-119517204
chr4:51863436-51891851:+	chr4:51860664-51863436	chr4:51891852-51899269
chr1:213167857-213176492:+	chr1:213142802-213167857	chr1:213176493-213230496
chr18:12999420-13049891:+	chr18:12991538-12999420	chr18:13049892-13052918
chr2:72731006-72733118:-	chr2:72718308-72731006	chr2:72733119-72741303
chr8:140739017-140752316:-	chr8:140735456-140739017	chr8:140752317-140761164
chr5:32135571-32143880:-	chr5:32126637-32135571	chr5:32143881-32173809
chr5:170892386-170924550:+	chr5:170881897-170892386	chr5:170924551-170953596
chr1:28580559-28581229:-	chr1:28579982-28580559	chr1:28581230-28581589
chr9:135881632-135883078:-	chr9:135866537-135881632	chr9:135883079-135906999
chr10:110596397-110598290:+	chr10:110593224-110596397	chr10:110598291-110599653
chr8:60794985-60801593:+	chr8:60781431-60794985	chr8:60801594-60808216
chr12:69251128-69262562:+	chr12:69239707-69251128	chr12:69262563-69269511
chr13:32517856-32527532:-	chr13:32480638-32517856	chr13:32527533-32535768
chr5:16779544-16783469:-	chr5:16769204-16779544	chr5:16783470-16818008
chr12:1027747-1028572:+	chr12:998483-1027747	chr12:1028573-1083163
chr8:28155941-28162078:+	chr8:28137892-28155941	chr8:28162079-28189648
chr5:132892163-132893118:-	chr5:132889174-132892163	chr5:132893119-132896322
chr19:34431860-34438766:+	chr19:34430660-34431860	chr19:34438767-34443843
chr8:127989161-128010444:+	chr8:127984205-127989161	chr8:128010445-128070159
chr18:62539680-62550460:+	chr18:62524364-62539680	chr18:62550461-62558686
chr4:128074459-128082305:+	chr4:128062220-128074459	chr4:128082306-128091000
chr7:152783186-152825122:+	chr7:152760053-152783186	chr7:152825123-152861826
chr8:140735250-140752316:-	chr8:140717710-140735250	chr8:140752317-140761164
chr5:38990948-39003622:-	chr5:38982037-38990948	chr5:39003623-39021038
chr15:41668827-41669958:+	chr15:41665579-41668827	chr15:41669959-41696074
chr8:47407860-47440542:+	chr8:47396627-47407860	chr8:47440543-47595810
chr8:25407982-25408940:+	chr8:25403725-25407982	chr8:25408941-25411193
chr9:33960825-33996333:-	chr9:33956147-33960825	chr9:33996334-33998786
chrX:131749305-131794466:-	chrX:131743249-131749305	chrX:131794467-131825221
chr20:21326278-21368590:+	chr20:21304168-21326278	chr20:21368591-21381993
chr1:77631849-77641655:-	chr1:77626438-77631849	chr1:77641656-77683261
chr3:48922747-48927813:+	chr3:48922469-48922747	chr3:48927814-48961611
chr1:70292387-70315566:-	chr1:70276845-70292387	chr1:70315567-70324852
chr10:101667885-101676436:-	chr10:101624811-101667885	chr10:101676437-101694380
chr12:69589484-69593613:+	chr12:69588263-69589484	chr12:69593614-69597188
chr1:23030468-23050520:+	chr1:23019948-23030468	chr1:23050521-23053760
chr2:135602499-135605016:+	chr2:135531634-135602499	chr2:135605017-135621493
chr8:61618977-61644632:-	chr8:61607323-61618977	chr8:61644633-61653567
chrX:131749305-131785258:-	chrX:131743249-131749305	chrX:131785259-131794296
chr17:77402058-77402703:+	chr17:77320349-77402058	chr17:77402704-77482143
chr3:129827802-129832826:-	chr3:129671265-129827802	chr3:129832827-129880308
chr7:43639448-43640649:-	chr7:43639015-43639448	chr7:43640650-43645250
chr2:181921947-181928278:+	chr2:181920663-181921947	chr2:181928279-181929560
chr11:14771936-14789242:+	chr11:14645054-14771936	chr11:14789243-14803943
chr1:50567076-50596216:-	chr1:50539729-50567076	chr1:50596217-50655441
chr9:33986759-34017189:-	chr9:33973238-33986759	chr9:34017190-34048824
chr11:61437624-61438113:+	chr11:61436961-61437624	chr11:61438114-61484687
chr10:67966682-68044563:-	chr10:67959137-67966682	chr10:68044564-68072882
chr8:97805352-97825153:+	chr8:97776109-97805352	chr8:97825154-97851396
chr5:137985256-137988315:-	chr5:137962470-137985256	chr5:137988316-138006989
chr13:41318805-41336756:+	chr13:41316931-41318805	chr13:41336757-41355143
chr8:61618977-61653660:-	chr8:61607323-61618977	chr8:61653661-61680967
chr19:50398850-50399484:+	chr19:50395151-50398850	chr19:50399485-50401777
chr6:82214226-82214829:-	chr6:82212794-82214226	chr6:82214830-82216075
chr9:20413720-20414425:-	chr9:20411939-20413720	chr9:20414426-20448122
chr7:102465816-102466270:+	chr7:102465161-102465816	chr7:102466271-102467338
chr9:77214328-77227485:+	chr9:77213315-77214328	chr9:77227486-77228121
chr15:63529013-63574403:+	chr15:63504831-63529013	chr15:63574404-63588304
chr3:119500694-119504021:+	chr3:119498943-119500694	chr3:119504022-119517204
chr6:158282262-158314268:+	chr6:158267416-158282262	chr6:158314269-158413064
chr19:12714820-12715739:-	chr19:12711614-12714820	chr19:12715740-12719028
chr11:61366044-61367998:+	chr11:61364579-61366044	chr11:61367999-61376554
chr5:32724697-32739030:+	chr5:32722772-32724697	chr5:32739031-32784798
chr15:29761138-29773357:-	chr15:29742782-29761138	chr15:29773358-29800645
chr10:74838682-74843478:+	chr10:74826786-74838682	chr10:74843479-74959969
chr8:37765525-37766355:+	chr8:37764007-37765525	chr8:37766356-37772754
chr9:109080838-109108570:-	chr9:109073439-109080838	chr9:109108571-109119334
chr9:37126311-37126942:+	chr9:37121673-37126311	chr9:37126943-37304187
chr1:47260288-47272241:-	chr1:47251923-47260288	chr1:47272242-47280240
chr13:113190871-113200516:-	chr13:113185561-113190871	chr13:113200517-113208598
chr15:74671454-74675142:-	chr15:74656069-74671454	chr15:74675143-74695879
chr3:142465096-142468068:-	chr3:142462091-142465096	chr3:142468069-142469336
chr1:32030297-32033334:+	chr1:32014378-32030297	chr1:32033335-32037834
chr17:4282797-4296814:-	chr17:4272517-4282797	chr17:4296815-4307020
chr18:196636-204692:+	chr18:192901-196636	chr18:204693-209970
chr7:100812746-100813208:-	chr7:100807581-100812746	chr7:100813209-100817191
chr3:136980465-136995556:+	chr3:136978309-136980465	chr3:136995557-137010112
chr6:100798712-100805880:-	chr6:100767346-100798712	chr6:100805881-100867907
chr8:123077110-123109620:+	chr8:123073432-123077110	chr8:123109621-123120054
chr4:1900625-1935262:+	chr4:1899396-1900625	chr4:1935263-1951071
chr3:31876432-31879830:-	chr3:31830232-31876432	chr3:31879831-31980898
chr9:92268173-92269983:-	chr9:92265554-92268173	chr9:92269984-92270984
chr17:51263273-51268904:+	chr17:51260927-51263273	chr17:51268905-51275865
chr8:141253988-141254629:-	chr8:141221766-141253988	chr8:141254630-141308095
chr3:57242855-57267792:+	chr3:57242143-57242855	chr3:57267793-57268397
chr19:18539370-18539720:-	chr19:18538437-18539370	chr19:18539721-18541678
chr2:210556718-210616541:+	chr2:210545399-210556718	chr2:210616542-210637701
chr15:63532646-63563008:+	chr15:63529167-63532646	chr15:63563009-63570432
chr2:61522610-61526521:-	chr2:61502311-61522610	chr2:61526522-61537561
chr12:29751665-29768075:-	chr12:29660886-29751665	chr12:29768076-29784307
chr6:57124733-57142095:+	chr6:57099142-57124733	chr6:57142096-57147089
chr2:190655976-190673152:+	chr2:190653781-190655976	chr2:190673153-190685478
chr1:113738109-113738799:-	chr1:113726575-113738109	chr1:113738800-113757698
chr21:43686803-43688240:+	chr21:43685790-43686803	chr21:43688241-43690287
chr11:46076753-46092223:-	chr11:46067192-46076753	chr11:46092224-46120934
chr19:18175039-18175697:+	chr19:18173974-18175039	chr19:18175698-18177139
chr3:47720665-47745993:-	chr3:47714491-47720665	chr3:47745994-47781602
chr4:15625251-15644708:-	chr4:15612415-15625251	chr4:15644709-15655203
chr4:166039338-166078030:+	chr4:166025432-166039338	chr4:166078031-166091127
chrX:53645310-53654131:-	chrX:53634299-53645310	chrX:53654132-53680048
chr3:146102754-146124229:-	chr3:146092097-146102754	chr3:146124230-146163593
chr13:75560752-75569507:+	chr13:75556418-75560752	chr13:75569508-75713181
chr3:120002045-120093593:-	chr3:120000724-120002045	chr3:120093594-120094542
chr10:124942456-124943307:+	chr10:124940548-124942456	chr10:124943308-124966593
chr4:1900625-1904378:+	chr4:1899396-1900625	chr4:1904379-1916870
chr19:3660965-3662001:-	chr19:3658722-3660965	chr19:3662002-3664821
chr16:68121986-68123121:+	chr16:68085785-68121986	chr16:68123122-68126447
chrX:53614533-53615835:-	chrX:53608910-53614533	chrX:53615836-53616969
chr14:65561336-65561766:+	chr14:65455719-65561336	chr14:65561767-65615977
chr10:89751345-89762835:+	chr10:89745960-89751345	chr10:89762836-89768289
chr5:59180594-59215968:-	chr5:59166435-59180594	chr5:59215969-59768246
chr20:58438944-58441083:+	chr20:58434706-58438944	chr20:58441084-58444076
chr8:98706466-98707311:-	chr8:98638561-98706466	chr8:98707312-98749275
chr7:131387119-131399433:+	chr7:131375494-131387119	chr7:131399434-131411305
chr13:60439687-60467379:+	chr13:60397406-60439687	chr13:60467380-60483774
chr15:49235850-49239367:+	chr15:49225350-49235850	chr15:49239368-49292326
chr7:140355667-140358785:-	chr7:140352147-140355667	chr7:140358786-140364407
chr16:87726764-87730644:-	chr16:87714574-87726764	chr16:87730645-87756421
chr4:55403235-55417985:+	chr4:55396397-55403235	chr4:55417986-55424537
chr1:197642710-197658369:-	chr1:197617760-197642710	chr1:197658370-197672036
chr5:94643272-94654752:+	chr5:94630744-94643272	chr5:94654753-94663749
chr9:96522505-96565483:-	chr9:96515793-96522505	chr9:96565484-96619218
chr1:8614560-8624380:-	chr1:8614438-8614560	chr1:8624381-8655972
chr22:50372019-50394135:+	chr22:50343551-50372019	chr22:50394136-50406688
chr1:155438326-155459898:-	chr1:155424673-155438326	chr1:155459899-155477885
chr19:17101659-17102557:+	chr19:17075875-17101659	chr19:17102558-17145396
chr1:45640209-45642499:-	chr1:45634237-45640209	chr1:45642500-45654542
chr5:179705678-179710065:+	chr5:179704431-179705678	chr5:179710066-179716104
chr5:181241491-181242345:-	chr5:181240346-181241491	chr5:181242346-181247123
chr20:49092045-49094963:+	chr20:49091067-49092045	chr20:49094964-49096348
chr6:83018972-83044659:-	chr6:82957451-83018972	chr6:83044660-83054147
chr2:159149141-159150556:+	chr2:159136299-159149141	chr2:159150557-159170523
chr8:130152735-130180880:-	chr8:130137039-130152735	chr8:130180881-130188108
chr3:3137259-3144710:+	chr3:3129189-3137259	chr3:3144711-3146429
chr20:32366383-32369123:+	chr20:32359335-32366383	chr20:32369124-32428130
chr18:8718423-8720496:+	chr18:8714250-8718423	chr18:8720497-8777832
chr21:44855209-44861271:-	chr21:44851628-44855209	chr21:44861272-44873501
chr14:74780404-74802676:+	chr14:74778684-74780404	chr14:74802677-74809379
chr13:95983803-95999307:-	chr13:95972672-95983803	chr13:95999308-96013306
chr9:4823547-4827033:+	chr9:4793228-4823547	chr9:4827034-4833153
chr20:38983698-38994880:+	chr20:38969215-38983698	chr20:38994881-39001729
chr5:109713519-109716264:+	chr5:109698515-109713519	chr5:109716265-109729341
chr9:33953284-33973237:-	chr9:33948588-33953284	chr9:33973238-33986759
chr10:91994534-92008275:+	chr10:91993848-91994534	chr10:92008276-92008828
chr7:24623665-24650712:+	chr7:24620221-24623665	chr7:24650713-24663589
chr1:52515890-52526373:-	chr1:52509713-52515890	chr1:52526374-52552930
chr4:48369848-48383784:+	chr4:48342129-48369848	chr4:48383785-48420124
chr13:91693186-91693881:+	chr13:91448923-91693186	chr13:91693882-91728531
chr5:139363758-139364743:+	chr5:139341981-139363758	chr5:139364744-139368732
chr4:169580841-169590809:-	chr4:169577080-169580841	chr4:169590810-169599099
chr16:47109482-47132025:-	chr16:47100981-47109482	chr16:47132026-47143578
chr7:22976209-22991139:-	chr7:22964532-22976209	chr7:22991140-23013924
chr1:30992389-30995220:-	chr1:30981406-30992389	chr1:30995221-31028795
chr1:30992389-31007102:-	chr1:30981406-30992389	chr1:31007103-31028795
chr7:11061790-11111467:+	chr7:11058025-11061790	chr7:11111468-11169415
chr9:91883257-91886770:-	chr9:91775819-91883257	chr9:91886771-91886863
chr10:31908171-31910563:-	chr10:31861659-31908171	chr10:31910564-31928682
chr3:197104902-197119530:-	chr3:197091027-197104902	chr3:197119531-197130571
chr2:109564365-109593119:-	chr2:109553938-109564365	chr2:109593120-109615632
chr5:14330777-14336727:+	chr5:14316744-14330777	chr5:14336728-14358177
chrX:24172714-24179770:+	chrX:24161843-24172714	chrX:24179771-24207325
chr1:59321535-59378837:+	chr1:59297151-59321535	chr1:59378838-59456960
chr10:34269656-34284245:-	chr10:34131584-34269656	chr10:34284246-34317106
chr15:67231813-67236820:-	chr15:67209545-67231813	chr15:67236821-67254558
chr19:6230569-6270759:-	chr19:6227103-6230569	chr19:6270760-6279772
chr16:89098590-89102759:+	chr16:89095304-89098590	chr16:89102760-89112091
chr6:158583953-158589782:+	chr6:158580996-158583953	chr6:158589783-158605266
chr6:158580939-158589782:+	chr6:158573524-158580939	chr6:158589783-158605266
chr1:1815755-1825499:-	chr1:1806539-1815755	chr1:1825500-1890819
chr4:55411613-55417985:+	chr4:55403339-55411613	chr4:55417986-55424537
chr12:110485077-110487943:+	chr12:110473119-110485077	chr12:110487944-110490018
chr5:151786571-151795575:+	chr5:151772669-151786571	chr5:151795576-151797226
chr2:54982514-54987698:-	chr2:54974765-54982514	chr2:54987699-55049744
chr11:73707419-73718718:-	chr11:73679928-73707419	chr11:73718719-73720845
chr4:173247979-173248440:+	chr4:173232714-173247979	chr4:173248441-173292107
chr9:85669484-85712566:-	chr9:85660974-85669484	chr9:85712567-85741774
chr2:37316236-37317179:-	chr2:37293272-37316236	chr2:37317180-37324680
chr5:58988492-58993465:-	chr5:58977346-58988492	chr5:58993466-59275337
chr16:4466152-4469465:-	chr16:4463851-4466152	chr16:4469466-4474092
chr9:83678440-83686155:-	chr9:83677962-83678440	chr9:83686156-83707499
chr3:155828181-155842619:-	chr3:155826820-155828181	chr3:155842620-155853222
chr10:15833629-15847943:-	chr10:15821727-15833629	chr10:15847944-15860205
chr20:35714184-35725155:-	chr20:35713858-35714184	chr20:35725156-35731940
chr2:99449335-99464985:-	chr2:99442470-99449335	chr2:99464986-99489816
chr2:135748266-135772547:+	chr2:135742595-135748266	chr2:135772548-135776248
chr14:21230318-21234229:-	chr14:21213118-21230318	chr14:21234230-21269297
chr14:32090501-32094386:+	chr14:32077436-32090501	chr14:32094387-32117142
chr1:176116623-176136547:-	chr1:176085891-176116623	chr1:176136548-176149005
chr7:131375423-131399433:+	chr7:131373747-131375423	chr7:131399434-131411305
chr15:72760406-72775097:-	chr15:72756448-72760406	chr15:72775098-72783458
chr16:67610823-67612121:+	chr16:67571265-67610823	chr16:67612122-67616744
chr1:225554905-225567414:-	chr1:225535564-225554905	chr1:225567415-225652685
chr9:93471140-93498886:+	chr9:93470431-93471140	chr9:93498887-93515669
chr18:12999420-13042334:+	chr18:12991538-12999420	chr18:13042335-13048858
chr2:207976650-207977586:-	chr2:207946513-207976650	chr2:207977587-208001029
chr1:41070594-41075451:-	chr1:41048891-41070594	chr1:41075452-41113282
