chrNum	start	end	strand	circID	genomic.length	samples	gene.symbol	study.group.number
chr1	8525984	8674745	-	hsa_circ_27589	148761	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	RERE	2
chr1	8555122	8557589	-	hsa_circ_18367	2467	H9 hESCs,normal brain tissue	RERE	2
chr1	8555122	8601377	-	hsa_circ_13474	46255	H9 hESCs,normal brain tissue,oligodendroma	RERE	2
chr1	8555122	8617582	-	hsa_circ_06579	62460	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	RERE	3
chr1	8555122	8674745	-	hsa_circ_08278	119623	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	RERE	3
chr1	8568685	8617582	-	hsa_circ_03393	48897	normal brain tissue,glioblastoma,oligodendroma,Hs68	RERE	2
chr1	8568685	8674745	-	hsa_circ_09259	106060	H9 hESCs,normal brain tissue	RERE	2
chr1	8601272	8617582	-	hsa_circ_08098	16310	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	RERE	3
chr1	8601272	8674745	-	hsa_circ_06796	73473	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	RERE	3
chr1	8601272	8684439	-	hsa_circ_21251	83167	H9 hESCs,normal brain tissue	RERE	2
chr1	8616533	8617582	-	hsa_circ_08899	1049	H9 hESCs,HEK293	RERE	2
chr1	8616533	8674745	-	hsa_circ_19016	58212	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	RERE	2
chr1	8616533	8684439	-	hsa_circ_01444	67906	H9 hESCs,normal brain tissue,glioblastoma	RERE	2
chr1	8674619	8684439	-	hsa_circ_06751	9820	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	RERE	2
chr1	8674619	8716500	-	hsa_circ_21108	41881	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	RERE	3
chr1	9415801	9416644	+	hsa_circ_32561	843	Hs68,leukemia	SPSB1	2
chr1	9991948	9992956	-	hsa_circ_01911	1008	H9 hESCs,normal brain tissue	LZIC	2
chr1	9991948	9994918	-	hsa_circ_31394	2970	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,cd_34	LZIC	3
chr1	9991948	9995685	-	hsa_circ_11549	3737	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	LZIC	3
chr1	10155518	10165802	+	hsa_circ_01701	10284	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	UBE4B	3
chr1	10177516	10179671	+	hsa_circ_04863	2155	H9 hESCs,normal brain tissue	UBE4B	2
chr1	10177516	10195244	+	hsa_circ_21515	17728	normal brain tissue,Hs68	UBE4B	2
chr1	10195045	10197263	+	hsa_circ_0006955	2218	Hs68_RNase, Hs68_control, K562, Hepg2, H1hesc, Bj	UBE4B	2
chr1	10292307	10338186	+	hsa_circ_16372	45879	H9 hESCs,oligodendroma	KIF1B	2
chr1	10327437	10328321	+	hsa_circ_0002002	884	Hs68_RNase, Hs68_control, K562, Hepg2, H1hesc	KIF1B	2
chr1	10331559	10335561	+	hsa_circ_25339	4002	H9 hESCs,normal brain tissue,glioblastoma	KIF1B	2
chr1	10335485	10342591	+	hsa_circ_00114	7106	H9 hESCs,normal brain tissue	KIF1B	2
chr1	10351139	10357304	+	hsa_circ_14616	6165	H9 hESCs,oligodendroma	KIF1B	2
chr1	10423340	10425706	+	hsa_circ_19884	2366	normal brain tissue,glioblastoma,oligodendroma,leukemia	KIF1B	2
chr1	10463127	10468197	+	hsa_circ_32383	5070	normal brain tissue,leukemia	PGD	2
chr1	10527246	10529395	-	hsa_circ_13291	2149	H9 hESCs,normal brain tissue,glioblastoma,Hs68	DFFA	3
chr1	11130956	11137005	-	hsa_circ_10118	6049	H9 hESCs,normal brain tissue,glioblastoma	EXOSC10	2
chr1	11133990	11134383	-	hsa_circ_24194	393	H9 hESCs,glioblastoma,Hs68	EXOSC10	3
chr1	11133990	11137005	-	hsa_circ_15620	3015	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	EXOSC10	3
chr1	11184554	11193254	-	hsa_circ_30587	8700	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	MTOR	3
chr1	11883763	11887278	+	hsa_circ_27081	3515	H9 hESCs,oligodendroma	CLCN6	2
chr1	12061457	12062160	+	hsa_circ_01679	703	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	MFN2	3
chr1	12335881	12338095	+	hsa_circ_00238	2214	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	VPS13D	2
chr1	12359258	12364785	+	hsa_circ_29299	5527	H9 hESCs,normal brain tissue,glioblastoma,Hs68	VPS13D	3
chr1	12359258	12368698	+	hsa_circ_05455	9440	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	VPS13D	3
chr1	12382592	12389975	+	hsa_circ_0007588	7383	Hs68_RNase, Hs68_control, Nhek, Gm12878	VPS13D	2
chr1	12460237	12476880	+	hsa_circ_0004222	16643	Hs68_RNase, Hs68_control, Nhek, K562, Bj, A549, Sknshra	VPS13D	2
chr1	12516053	12520451	+	hsa_circ_24403	4398	H9 hESCs,normal brain tissue	VPS13D	2
chr1	12638745	12639440	-	hsa_circ_05017	695	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,leukemia	DHRS3	3
chr1	12638745	12640694	-	hsa_circ_20251	1949	H9 hESCs,glioblastoma,oligodendroma	DHRS3	2
chr1	14042035	14075982	+	hsa_circ_13997	33947	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma	PRDM2	2
chr1	14057494	14068652	+	hsa_circ_28140	11158	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	PRDM2	3
chr1	14057494	14075982	+	hsa_circ_0004861	18488	Hs68_RNase, Hs68_control, Nhek, Gm12878, Bj, Ag04450, A549, Sknshra	PRDM2	2
chr1	15844604	15844890	-	hsa_circ_24043	286	H9 hESCs,glioblastoma	CASP9	2
chr1	15860731	15863309	+	hsa_circ_07475	2578	H9 hESCs,HEK293,cd_19,Hs68,leukocyte	DNAJC16	4
chr1	15860731	15874923	+	hsa_circ_0009118	14192	Hs68_RNase, Hs68_control, Nhek, K562	DNAJC16	2
chr1	15862969	15863309	+	hsa_circ_07716	340	H9 hESCs,Hs68	DNAJC16	2
chr1	15953163	15970145	+	hsa_circ_01914	16982	H9 hESCs,glioblastoma,leukemia	DDI2	3
chr1	15956819	15978390	+	hsa_circ_28953	21571	normal brain tissue,glioblastoma,oligodendroma,leukemia	DDI2	2
chr1	15964801	15970145	+	hsa_circ_18547	5344	H9 hESCs,normal brain tissue,cd_19,Hs68,leukemia	DDI2	5
chr1	15964801	15978390	+	hsa_circ_02958	13589	H9 hESCs,cd_19,Hs68,leukemia	DDI2	4
chr1	15976214	15978390	+	hsa_circ_0004095	2176	Hs68_RNase, Hs68_control, K562, Gm12878, Sknshra	DDI2	2
chr1	16044387	16046415	+	hsa_circ_01977	2028	H9 hESCs,oligodendroma	PLEKHM2	2
chr1	16044387	16047883	+	hsa_circ_0000021	3496	cd_19, neutr, Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Nhlf, Sknshra	PLEKHM2	3
chr1	16046228	16047883	+	hsa_circ_0002733	1655	Hs68_RNase, Hs68_control, Nhek, Huvec, Hmec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	PLEKHM2	2
chr1	16199310	16203173	+	hsa_circ_14395	3863	glioblastoma,Hs68	SPEN	2
chr1	16464347	16464925	-	hsa_circ_0005240	578	Hs68_RNase, Hs68_control, Nhek, Hepg2, Helas3, H1hesc, Bj, Ag04450, A549, Sknshra	EPHA2	2
chr1	16528276	16529069	-	hsa_circ_27315	793	H9 hESCs,Hs68	ARHGEF19	2
chr1	17907047	17914974	+	hsa_circ_15970	7927	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	ARHGEF10L	3
chr1	17975048	17983203	+	hsa_circ_20528	8155	glioblastoma,Hs68	ARHGEF10L	2
chr1	19510304	19511780	-	hsa_circ_0003777	1476	Hs68_RNase, Hs68_control, Helas3, H1hesc, Bj, Ag04450, A549	UBR4	2
chr1	19518681	19519034	-	hsa_circ_0006065	353	Hs68_RNase, Hs68_control, K562, H1hesc, Ag04450	UBR4	2
chr1	19519926	19523759	-	hsa_circ_07333	3833	H9 hESCs,normal brain tissue,oligodendroma	UBR4	2
chr1	19683128	19684057	-	hsa_circ_10662	929	H9 hESCs,glioblastoma	CAPZB	2
chr1	20063864	20073753	-	hsa_circ_0004067	9889	Hs68_RNase, Hs68_control, Hepg2, A549	TMCO4	2
chr1	21076215	21100103	-	hsa_circ_0000023	23888	cd_19, Hs68_RNase, Hs68_control, K562, Hepg2, Ag04450	HP1BP3	3
chr1	21083658	21097566	-	hsa_circ_03322	13908	glioblastoma,Hs68	HP1BP3	2
chr1	21083658	21100103	-	hsa_circ_02507	16445	H9 hESCs,normal brain tissue,glioblastoma,cd_19,neutr,Hs68,leukemia,leukocyte	HP1BP3	5
chr1	21083658	21103243	-	hsa_circ_06961	19585	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia,leukocyte	HP1BP3	4
chr1	21083658	21107033	-	hsa_circ_0002437	23375	Hs68_RNase, Hs68_control, K562, Huvec, H1hesc, Gm12878, Bj, Ag04450, A549	HP1BP3	2
chr1	21091869	21100103	-	hsa_circ_17097	8234	H9 hESCs,normal brain tissue,Hs68	HP1BP3	3
chr1	21097422	21100103	-	hsa_circ_0005782	2681	Hs68_RNase, Hs68_control, Nhek, K562, Gm12878, Ag04450, Sknshra	HP1BP3	2
chr1	21220009	21221994	-	hsa_circ_08327	1985	H9 hESCs,normal brain tissue	EIF4G3	2
chr1	21220009	21231464	-	hsa_circ_0007214	11455	Hs68_RNase, Hs68_control, Helas3, Gm12878, Bj, A549	EIF4G3	2
chr1	21220009	21268823	-	hsa_circ_08351	48814	H9 hESCs,normal brain tissue,oligodendroma	EIF4G3	2
chr1	21295966	21306941	-	hsa_circ_0005002	10975	Hs68_RNase, Hs68_control, Nhek, Hepg2, H1hesc	EIF4G3	2
chr1	21295966	21307720	-	hsa_circ_0000025	11754	HEK293, Hs68_RNase, Hs68_control, K562, Helas3, H1hesc, Bj, Ag04450, Sknshra	EIF4G3	3
chr1	21295966	21329301	-	hsa_circ_0005604	33335	Hs68_RNase, Hs68_control, Nhek, Hepg2, H1hesc	EIF4G3	2
chr1	21329205	21415706	-	hsa_circ_0007991	86501	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Gm12878	EIF4G3	2
chr1	21329205	21437876	-	hsa_circ_0007227	108671	Hs68_RNase, Hs68_control, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, A549, Sknshra	EIF4G3	2
chr1	21377358	21415706	-	hsa_circ_04767	38348	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	EIF4G3	3
chr1	21377358	21437876	-	hsa_circ_02549	60518	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,HEK293,Hs68	EIF4G3	4
chr1	21415630	21437876	-	hsa_circ_06731	22246	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	EIF4G3	3
chr1	21548239	21554534	-	hsa_circ_0000027	6295	cd_19, Hs68_RNase, Hs68_control, Bj, Nhlf	ECE1	3
chr1	21571481	21616649	-	hsa_circ_28972	45168	H9 hESCs,normal brain tissue	ECE1	2
chr1	21573713	21585332	-	hsa_circ_14576	11619	normal brain tissue,Hs68	ECE1	2
chr1	21599191	21599404	-	hsa_circ_0008563	213	Hs68_RNase, Hs68_control, Nhek, K562, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra	ECE1	2
chr1	21599191	21605825	-	hsa_circ_0005509	6634	Hs68_RNase, Hs68_control, Bj, Ag04450	ECE1	2
chr1	21599191	21616649	-	hsa_circ_03173	17458	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	ECE1	3
chr1	22027990	22030111	-	hsa_circ_31806	2121	H9 hESCs,leukocyte	USP48	2
chr1	22041881	22048257	-	hsa_circ_12590	6376	glioblastoma,oligodendroma,cd_19,Hs68	USP48	3
chr1	22047528	22048257	-	hsa_circ_0004808	729	Hs68_RNase, Hs68_control, Nhek, K562, Ag04450, Sknshra	USP48	2
chr1	22073559	22079612	-	hsa_circ_06922	6053	normal brain tissue,leukocyte	USP48	2
chr1	22074630	22078108	-	hsa_circ_00854	3478	H9 hESCs,normal brain tissue,glioblastoma,Hs68	USP48	3
chr1	22074630	22079612	-	hsa_circ_25575	4982	oligodendroma,cd_34	USP48	2
chr1	22173846	22175524	-	hsa_circ_0006155	1678	Hs68_RNase, Hs68_control, Huvec, Bj	HSPG2	2
chr1	22404921	22413359	+	hsa_circ_0005576	8438	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hepg2, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549	CDC42	2
chr1	22816372	22818026	+	hsa_circ_0007418	1654	Hs68_RNase, Hs68_control, K562, H1hesc, Gm12878	ZBTB40	2
chr1	23107913	23111569	+	hsa_circ_14519	3656	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	EPHB2	3
chr1	23189529	23191705	+	hsa_circ_0002720	2176	Hs68_RNase, Hs68_control, Huvec, Ag04450	EPHB2	2
chr1	23356961	23377013	+	hsa_circ_07818	20052	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukocyte	KDM1A	4
chr1	23356961	23380332	+	hsa_circ_08112	23371	H9 hESCs,normal brain tissue	KDM1A	2
chr1	23356961	23385660	+	hsa_circ_29872	28699	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	KDM1A	3
chr1	23376879	23385660	+	hsa_circ_21852	8781	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	KDM1A	3
chr1	23381561	23395644	+	hsa_circ_08847	14083	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	KDM1A	3
chr1	24130889	24147083	-	hsa_circ_0004014	16194	Hs68_RNase, Hs68_control, Nhek, Helas3	HMGCL	2
chr1	24140679	24147083	-	hsa_circ_0003757	6404	Hs68_RNase, Hs68_control, Nhek, K562, Hepg2, Gm12878, Bj, Ag04450, A549, Sknshra	HMGCL	2
chr1	24298062	24298502	-	hsa_circ_10175	440	H9 hESCs,oligodendroma	SRSF10	2
chr1	24495906	24507344	-	hsa_circ_30037	11438	H9 hESCs,normal brain tissue	IFNLR1	2
chr1	24840803	24841057	+	hsa_circ_22201	254	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia,leukocyte	RCAN3	4
chr1	24857707	24859744	+	hsa_circ_19025	2037	H9 hESCs,normal brain tissue,Hs68	RCAN3	3
chr1	25666964	25669564	+	hsa_circ_16811	2600	H9 hESCs,cd_19,Hs68,leukemia	TMEM50A	4
chr1	25666964	25678184	+	hsa_circ_0007054	11220	Hs68_RNase, Hs68_control, K562, Helas3, H1hesc, A549, Mcf7	TMEM50A	2
chr1	25880412	25883758	+	hsa_circ_27161	3346	H9 hESCs,normal brain tissue	LDLRAP1	2
chr1	26581661	26582356	+	hsa_circ_24941	695	H9 hESCs,Hs68,leukemia	CEP85	3
chr1	26581661	26586293	+	hsa_circ_0002868	4632	Hs68_RNase, Hs68_control, K562, Helas3	CEP85	2
chr1	26584087	26586293	+	hsa_circ_07591	2206	H9 hESCs,cd_19,Hs68,leukemia,leukocyte	CEP85	4
chr1	26772806	26774151	+	hsa_circ_19894	1345	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_34,neutr,Hs68	DHDDS	4
chr1	26774049	26786635	+	hsa_circ_0008614	12586	Hs68_RNase, Hs68_control, Nhek, K562, Huvec, Hsmm, Helas3, H1hesc, Gm12878, Bj, Ag04450, A549, Sknshra, Mcf7	DHDDS	2
chr1	26784281	26786635	+	hsa_circ_23008	2354	H9 hESCs,normal brain tissue,Hs68	DHDDS	3
chr1	27056141	27059283	+	hsa_circ_17116	3142	H9 hESCs,normal brain tissue,Hs68	ARID1A	3
chr1	27087346	27089776	+	hsa_circ_09021	2430	H9 hESCs,glioblastoma,Hs68	ARID1A	3
chr1	27267947	27268309	+	hsa_circ_32045	362	glioblastoma,oligodendroma,Hs68	NUDC	2
chr1	27269150	27269556	+	hsa_circ_10313	406	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia,leukocyte	NUDC	4
chr1	27432375	27436268	-	hsa_circ_00815	3893	H9 hESCs,normal brain tissue,Hs68	SLC9A1	3
chr1	27440316	27440777	-	hsa_circ_14543	461	H9 hESCs,normal brain tissue,glioblastoma,Hs68	SLC9A1	3
chr1	27994736	27995857	-	hsa_circ_0002470	1121	Hs68_RNase, Hs68_control, Nhek	IFI6	2
chr1	28075578	28081841	+	hsa_circ_0006585	6263	Hs68_RNase, Hs68_control, K562, Gm12878	FAM76A	2
chr1	28116072	28120143	+	hsa_circ_23313	4071	H9 hESCs,normal brain tissue,glioblastoma,Hs68	STX12	3
chr1	28233438	28233793	-	hsa_circ_0005866	355	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, H1hesc, Gm12878, Ag04450, A549, Sknshra	RPA2	2
chr1	28362054	28374937	-	hsa_circ_0008057	12883	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, Gm12878, Ag04450, Sknshra	EYA3	2
chr1	28362054	28384605	-	hsa_circ_27653	22551	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	EYA3	3
chr1	28800065	28800663	+	hsa_circ_0002909	598	Hs68_RNase, Hs68_control, K562, Hsmm, Hepg2, Helas3, Gm12878, Ag04450, A549, Mcf7	PHACTR4	2
chr1	28800065	28802803	+	hsa_circ_05445	2738	H9 hESCs,cd_19	PHACTR4	2
chr1	28802618	28807116	+	hsa_circ_08953	4498	H9 hESCs,normal brain tissue	PHACTR4	2
chr1	28907071	28907741	-	hsa_circ_0005174	670	Hs68_RNase, Hs68_control, K562, Huvec, Hepg2, H1hesc, Gm12878, Ag04450, A549, Sknshra	SNHG12	2
chr1	28939758	28948677	-	hsa_circ_05074	8919	H9 hESCs,normal brain tissue,oligodendroma	TAF12	2
chr1	28944464	28948677	-	hsa_circ_09699	4213	H9 hESCs,normal brain tissue	TAF12	2
chr1	29068914	29070498	+	hsa_circ_03011	1584	H9 hESCs,glioblastoma,cd_34,leukemia,leukocyte	YTHDF2	4
chr1	29319841	29344954	+	hsa_circ_31017	25113	normal brain tissue,cd_19	EPB41	2
chr1	29362337	29365938	+	hsa_circ_22064	3601	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19	EPB41	3
chr1	29481207	29481422	-	hsa_circ_04689	215	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68	SRSF4	3
chr1	31413997	31414970	-	hsa_circ_19182	973	H9 hESCs,normal brain tissue	PUM1	2
chr1	31437520	31454252	-	hsa_circ_32913	16732	H9 hESCs,normal brain tissue,glioblastoma	PUM1	2
chr1	31452908	31468067	-	hsa_circ_0002452	15159	Hs68_RNase, Hs68_control, Nhek, Hepg2, Helas3, H1hesc, Sknshra	PUM1	2
chr1	31465236	31468067	-	hsa_circ_05044	2831	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	PUM1	4
chr1	31465236	31479949	-	hsa_circ_17547	14713	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,Hs68	PUM1	4
chr1	31478699	31479949	-	hsa_circ_0004949	1250	Hs68_RNase, Hs68_control, Nhek, K562, Gm12878, Ag04450, A549, Mcf7	PUM1	2
chr1	31532050	31532424	-	hsa_circ_31771	374	H9 hESCs,normal brain tissue,glioblastoma,HEK293,cd_34	PUM1	3
chr1	31740717	31764853	-	hsa_circ_28139	24136	H9 hESCs,normal brain tissue	SNRNP40	2
chr1	31742004	31764853	-	hsa_circ_0007391	22849	Hs68_RNase, Hs68_control, K562	SNRNP40	2
chr1	31810021	31811895	+	hsa_circ_00619	1874	H9 hESCs,normal brain tissue,Hs68,leukocyte	ZCCHC17	4
chr1	31810021	31821821	+	hsa_circ_10256	11800	H9 hESCs,normal brain tissue,glioblastoma,Hs68,leukemia,leukocyte	ZCCHC17	4
chr1	31819486	31821821	+	hsa_circ_15249	2335	H9 hESCs,normal brain tissue,leukemia	ZCCHC17	3
chr1	32375638	32377427	-	hsa_circ_0005674	1789	Hs68_RNase, Hs68_control, K562, Gm12878, Bj, Ag04450, A549, Sknshra	PTP4A2	2
chr1	32377296	32385259	-	hsa_circ_32289	7963	H9 hESCs,normal brain tissue,oligodendroma,Hs68	PTP4A2	3
chr1	32381495	32385259	-	hsa_circ_22452	3764	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	PTP4A2	4
chr1	32495898	32498935	+	hsa_circ_01749	3037	H9 hESCs,Hs68,leukemia	KHDRBS1	3
chr1	32495898	32504220	+	hsa_circ_32482	8322	H9 hESCs,oligodendroma,Hs68,leukemia	KHDRBS1	4
chr1	32495898	32510991	+	hsa_circ_01358	15093	normal brain tissue,Hs68	KHDRBS1	2
chr1	32502510	32504220	+	hsa_circ_23660	1710	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia	KHDRBS1	4
chr1	32502510	32505174	+	hsa_circ_00745	2664	H9 hESCs,normal brain tissue,Hs68	KHDRBS1	3
chr1	32557275	32566163	+	hsa_circ_0006349	8888	Hs68_RNase, Hs68_control, Nhek, Hepg2, H1hesc	TMEM39B	2
chr1	32560384	32566163	+	hsa_circ_14791	5779	H9 hESCs,glioblastoma,Hs68,leukemia	TMEM39B	4
chr1	32628835	32632897	+	hsa_circ_0003880	4062	Hs68_RNase, Hs68_control, K562, Gm12878	KPNA6	2
chr1	32653554	32653725	+	hsa_circ_0006994	171	Hs68_RNase, Hs68_control, K562, Hepg2, Helas3, Gm12878, Bj, Ag04450	TXLNA	2
chr1	32653554	32655850	+	hsa_circ_07163	2296	H9 hESCs,normal brain tissue,Hs68	TXLNA	3
chr1	32694099	32694809	+	hsa_circ_0004240	710	Hs68_RNase, Hs68_control, K562, Helas3, H1hesc, Gm12878, Bj, Sknshra, Mcf7	EIF3I	2
chr1	32792539	32793278	+	hsa_circ_0005339	739	Hs68_RNase, Hs68_control, K562, Huvec, Helas3, Bj, Ag04450, A549	HDAC1	2
chr1	33058531	33059355	+	hsa_circ_04730	824	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,leukemia	ZBTB8A	3
chr1	33058531	33060824	+	hsa_circ_0002306	2293	Hs68_RNase, Hs68_control, Nhek, Huvec, Hsmm, Hepg2, Helas3, H1hesc, Bj, Ag04450, A549, Mcf7	ZBTB8A	2
chr1	33099245	33100393	-	hsa_circ_30130	1148	H9 hESCs,normal brain tissue,Hs68	ZBTB8OS	3
chr1	33133825	33135164	+	hsa_circ_0009103	1339	Hs68_RNase, Hs68_control, Ag04450	RBBP4	2
chr1	33133825	33138502	+	hsa_circ_0008672	4677	Hs68_RNase, Hs68_control, Gm12878	RBBP4	2
chr1	33251962	33256855	-	hsa_circ_27908	4893	H9 hESCs,normal brain tissue	YARS	2
chr1	33403997	33415375	-	hsa_circ_0005057	11378	Hs68_RNase, Hs68_control, K562	RNF19B	2
chr1	33407852	33415375	-	hsa_circ_0004013	7523	Hs68_RNase, Hs68_control, Gm12878	RNF19B	2
chr1	33409619	33415375	-	hsa_circ_0005810	5756	Hs68_RNase, Hs68_control, K562, Gm12878, Ag04450, Nhlf, Sknshra	RNF19B	2
chr1	33413822	33415375	-	hsa_circ_31977	1553	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,cd_19,neutr,Hs68	RNF19B	4
chr1	33625288	33625545	-	hsa_circ_02489	257	H9 hESCs,normal brain tissue	TRIM62	2
chr1	33760537	33760906	+	hsa_circ_15893	369	H9 hESCs,normal brain tissue,glioblastoma,oligodendroma,Hs68,leukemia,leukocyte	ZNF362	4
chr1	34204740	34209207	-	hsa_circ_26176	4467	H9 hESCs,glioblastoma	CSMD2	2
