chrNum	start	end	strand	corresponding_positive_circID
chr1	51871576	51874004	-	hsa_circ_0004877
chr1	51860052	51875368	-	hsa_circ_0008090
chr1	51860052	51887530	-	hsa_circ_27525
chr1	51906018	51913807	-	hsa_circ_0006125
chr1	51926762	51930998	-	hsa_circ_12150
chr1	51926762	51946986	-	hsa_circ_0006350
chr1	52283737	52299842	-	hsa_circ_14238
chr1	52289335	52299842	-	hsa_circ_17483
chr1	52293467	52299842	-	hsa_circ_29160
chr1	52861717	52863535	-	hsa_circ_0003494
chr1	52943379	52947595	-	hsa_circ_22266
chr1	52943379	52954707	-	hsa_circ_18340
chr1	52959282	52975384	-	hsa_circ_23494
chr1	52981562	52992045	-	hsa_circ_08299
chr1	54059780	54060663	-	hsa_circ_22291
chr1	54059780	54065951	-	hsa_circ_15091
chr1	54254805	54262817	-	hsa_circ_0006676
chr1	54269600	54272190	-	hsa_circ_0005482
chr1	54266365	54275419	-	hsa_circ_29401
chr1	54266365	54298264	-	hsa_circ_0009070
chr1	54506428	54513045	-	hsa_circ_27079
chr1	55340765	55341720	-	hsa_circ_17686
chr1	56977647	56990226	-	hsa_circ_15172
chr1	56977647	57002784	-	hsa_circ_05939
chr1	58971731	59000003	-	hsa_circ_0006281
chr1	58992932	59002413	-	hsa_circ_04349
chr1	58971731	59002413	-	hsa_circ_07816
chr1	58971731	59004982	-	hsa_circ_19168
chr1	59137541	59142728	-	hsa_circ_26818
chr1	63042932	63044637	-	hsa_circ_18205
chr1	63042932	63052295	-	hsa_circ_0002032
chr1	63944434	63974241	-	hsa_circ_09477
chr1	67356836	67371058	-	hsa_circ_09736
chr1	68960112	68960378	-	hsa_circ_04469
chr1	70650467	70654956	-	hsa_circ_00880
chr1	70736538	70742527	-	hsa_circ_0008112
chr1	70740402	70766591	-	hsa_circ_08516
chr1	70758070	70771973	-	hsa_circ_0002231
chr1	70761812	70771973	-	hsa_circ_0005884
chr1	70736538	70781249	-	hsa_circ_00335
chr1	70742447	70781249	-	hsa_circ_0008892
chr1	70758070	70781249	-	hsa_circ_14437
chr1	70761812	70781249	-	hsa_circ_30675
chr1	70766446	70781249	-	hsa_circ_0003566
chr1	70771906	70781249	-	hsa_circ_09421
chr1	78097534	78107340	-	hsa_circ_12305
chr1	78107068	78107340	-	hsa_circ_0002717
chr1	78177431	78181553	-	hsa_circ_0005374
chr1	78183551	78191447	-	hsa_circ_0000087
chr1	85331067	85331821	-	hsa_circ_27240
chr1	85816097	85817262	-	hsa_circ_0003743
chr1	85816097	85824530	-	hsa_circ_15529
chr1	86241356	86252144	-	hsa_circ_19650
chr1	91403041	91447927	-	hsa_circ_29312
chr1	92327027	92327201	-	hsa_circ_0006622
chr1	93029198	93073284	-	hsa_circ_11187
chr1	93070863	93073284	-	hsa_circ_01441
chr1	93089732	93101893	-	hsa_circ_0005886
chr1	93159358	93170301	-	hsa_circ_05985
chr1	94032835	94033408	-	hsa_circ_17862
chr1	94047857	94057950	-	hsa_circ_18910
chr1	94107859	94140497	-	hsa_circ_0002986
chr1	94140169	94140497	-	hsa_circ_29534
chr1	94360169	94367225	-	hsa_circ_10424
chr1	94360169	94370144	-	hsa_circ_0004495
chr1	94685813	94697199	-	hsa_circ_0003310
chr1	98015115	98060722	-	hsa_circ_04940
chr1	103404590	103412512	-	hsa_circ_09925
chr1	108690900	108703915	-	hsa_circ_24911
chr1	113134146	113140708	-	hsa_circ_09855
chr1	113140592	113143470	-	hsa_circ_31982
chr1	113098489	113159517	-	hsa_circ_12151
chr1	113153462	113159517	-	hsa_circ_31799
chr1	113459799	113460666	-	hsa_circ_24473
chr1	114240883	114249344	-	hsa_circ_22352
chr1	114269039	114281421	-	hsa_circ_0006185
chr1	114280731	114281421	-	hsa_circ_0003198
chr1	114440461	114444507	-	hsa_circ_19510
chr1	115005725	115006178	-	hsa_circ_22438
chr1	115005725	115007010	-	hsa_circ_22658
chr1	118449127	118461358	-	hsa_circ_0008449
chr1	118454615	118461358	-	hsa_circ_20838
chr1	118461218	118463047	-	hsa_circ_27366
chr1	144994590	145021167	-	hsa_circ_0008390
chr1	145015859	145021167	-	hsa_circ_28961
chr1	145594038	145595220	-	hsa_circ_0003693
chr1	145594038	145597054	-	hsa_circ_13528
chr1	145769407	145771730	-	hsa_circ_0008734
chr1	145787771	145791170	-	hsa_circ_06106
chr1	146066114	146074129	-	hsa_circ_09289
chr1	147607950	147615965	-	hsa_circ_12072
chr1	149936146	149937803	-	hsa_circ_30550
chr1	150202905	150204264	-	hsa_circ_23531
chr1	150795669	150799093	-	hsa_circ_0003116
chr1	151111900	151112566	-	hsa_circ_14709
chr1	151288048	151288985	-	hsa_circ_25288
chr1	151400298	151403317	-	hsa_circ_18155
chr1	151395872	151403317	-	hsa_circ_0008701
chr1	151395872	151414681	-	hsa_circ_28755
chr1	151400298	151414681	-	hsa_circ_11108
chr1	151849476	151860859	-	hsa_circ_18841
chr1	153635690	153636950	-	hsa_circ_27636
chr1	153637695	153641033	-	hsa_circ_01195
chr1	153784206	153785928	-	hsa_circ_32850
chr1	153909963	153910339	-	hsa_circ_14369
chr1	154145383	154145677	-	hsa_circ_0008368
chr1	155319117	155324421	-	hsa_circ_21331
chr1	155340294	155340774	-	hsa_circ_0007608
chr1	155348071	155385714	-	hsa_circ_0002897
chr1	155385534	155385714	-	hsa_circ_0004060
chr1	155385534	155408859	-	hsa_circ_03884
chr1	155408117	155408859	-	hsa_circ_0000137
chr1	155365249	155429689	-	hsa_circ_15578
chr1	155408117	155429689	-	hsa_circ_04002
chr1	155640110	155644887	-	hsa_circ_28497
chr1	155640110	155649303	-	hsa_circ_32897
chr1	155642350	155649303	-	hsa_circ_16251
chr1	155644800	155649303	-	hsa_circ_16014
chr1	155737215	155747611	-	hsa_circ_11137
chr1	155823066	155823597	-	hsa_circ_09305
chr1	155874101	155874595	-	hsa_circ_0006575
chr1	155891165	155891709	-	hsa_circ_23951
chr1	155891165	155893478	-	hsa_circ_22207
chr1	155891165	155895634	-	hsa_circ_25342
chr1	155896466	155896947	-	hsa_circ_16400
chr1	155984751	155988159	-	hsa_circ_15125
chr1	156286956	156287338	-	hsa_circ_23409
chr1	156294762	156304709	-	hsa_circ_14590
chr1	156303337	156304709	-	hsa_circ_24592
chr1	160201086	160213824	-	hsa_circ_0007139
chr1	160281657	160282957	-	hsa_circ_09372
chr1	160293220	160302347	-	hsa_circ_21949
chr1	161071837	161072165	-	hsa_circ_24113
chr1	165648678	165652347	-	hsa_circ_0005666
chr1	165648678	165664634	-	hsa_circ_0003014
chr1	168073714	168074132	-	hsa_circ_05143
chr1	169199955	169256646	-	hsa_circ_21250
chr1	169446392	169446995	-	hsa_circ_29761
chr1	169673708	169673894	-	hsa_circ_32391
chr1	173835665	173835934	-	hsa_circ_16430
chr1	175956078	175958615	-	hsa_circ_0004722
chr1	176012321	176015460	-	hsa_circ_18329
chr1	176012321	176055026	-	hsa_circ_11570
chr1	176050287	176085817	-	hsa_circ_21453
chr1	175996707	176105683	-	hsa_circ_0008941
chr1	176050287	176105683	-	hsa_circ_02107
chr1	176085759	176105683	-	hsa_circ_28833
chr1	176104145	176118210	-	hsa_circ_06647
chr1	176104145	176133027	-	hsa_circ_0008566
chr1	176132004	176145143	-	hsa_circ_0003011
chr1	176104145	176145143	-	hsa_circ_27503
chr1	176118141	176145143	-	hsa_circ_03606
chr1	176118141	176153828	-	hsa_circ_14146
chr1	176132004	176153828	-	hsa_circ_17433
chr1	179089324	179091002	-	hsa_circ_04083
chr1	179100445	179100616	-	hsa_circ_0006980
chr1	179100445	179102509	-	hsa_circ_0004996
chr1	180366650	180382606	-	hsa_circ_25395
chr1	180366650	180399397	-	hsa_circ_07741
chr1	180953812	180962561	-	hsa_circ_23135
chr1	180953812	180974599	-	hsa_circ_27267
chr1	180971741	180974599	-	hsa_circ_20192
chr1	184675776	184681011	-	hsa_circ_09720
chr1	184701970	184706845	-	hsa_circ_27647
chr1	197141289	197161029	-	hsa_circ_13626
chr1	197611840	197627499	-	hsa_circ_0006324
chr1	197621364	197627499	-	hsa_circ_14480
chr1	197564337	197684204	-	hsa_circ_0008785
chr1	197611840	197684204	-	hsa_circ_30548
chr1	202724398	202727638	-	hsa_circ_25661
chr1	202724398	202733273	-	hsa_circ_10369
chr1	202742245	202746222	-	hsa_circ_20955
chr1	204437997	204439014	-	hsa_circ_0000174
chr1	205072984	205074296	-	hsa_circ_0003527
chr1	205693053	205698749	-	hsa_circ_29425
chr1	208383624	208391347	-	hsa_circ_11357
chr1	211092981	211093411	-	hsa_circ_0006123
chr1	211952259	211966532	-	hsa_circ_28462
chr1	211956570	211966532	-	hsa_circ_0008745
chr1	212179980	212194554	-	hsa_circ_18107
chr1	214537854	214551445	-	hsa_circ_0008573
chr1	214564330	214571344	-	hsa_circ_0008659
chr1	214625147	214638300	-	hsa_circ_0007015
chr1	214637972	214638300	-	hsa_circ_0007615
chr1	217665021	217671737	-	hsa_circ_22230
chr1	217783662	217787544	-	hsa_circ_07592
chr1	220179447	220180680	-	hsa_circ_08780
chr1	220386228	220387321	-	hsa_circ_0002924
chr1	223991875	223994649	-	hsa_circ_0003914
chr1	224424207	224455835	-	hsa_circ_22669
chr1	224437913	224455835	-	hsa_circ_25122
chr1	224588651	224599267	-	hsa_circ_23324
chr1	224599128	224607317	-	hsa_circ_0002577
chr1	224592131	224612356	-	hsa_circ_0006962
chr1	225742607	225755116	-	hsa_circ_23774
chr1	226483542	226488906	-	hsa_circ_18676
chr1	227210963	227213853	-	hsa_circ_18476
chr1	227213755	227223308	-	hsa_circ_0009044
chr1	227216357	227223308	-	hsa_circ_25936
chr1	227327276	227335260	-	hsa_circ_0003659
chr1	227381486	227400920	-	hsa_circ_20129
chr1	229586271	229601266	-	hsa_circ_02847
chr1	229661682	229667478	-	hsa_circ_16348
chr1	229675202	229685181	-	hsa_circ_09893
chr1	231079551	231097049	-	hsa_circ_19784
chr1	231081134	231097049	-	hsa_circ_01381
chr1	231090078	231097049	-	hsa_circ_27576
chr1	231506307	231509845	-	hsa_circ_08200
chr1	232551239	232568217	-	hsa_circ_02500
chr1	232596632	232607274	-	hsa_circ_04355
chr1	233160891	233193036	-	hsa_circ_29446
chr1	233190013	233193036	-	hsa_circ_27758
chr1	233225806	233231609	-	hsa_circ_10712
chr1	233225806	233297109	-	hsa_circ_0006803
chr1	233270758	233297109	-	hsa_circ_17012
chr1	233270758	233314921	-	hsa_circ_19664
chr1	233334684	233344435	-	hsa_circ_28614
chr1	233270758	233344435	-	hsa_circ_17562
chr1	233296028	233344435	-	hsa_circ_32128
chr1	233313547	233344435	-	hsa_circ_17900
chr1	233353644	233363117	-	hsa_circ_11952
chr1	233334684	233363117	-	hsa_circ_13111
chr1	233344263	233372726	-	hsa_circ_32296
chr1	233353644	233372726	-	hsa_circ_28286
chr1	233362971	233372726	-	hsa_circ_24768
chr1	233313547	233372726	-	hsa_circ_32016
chr1	233334684	233372726	-	hsa_circ_19849
chr1	233334684	233388534	-	hsa_circ_0006881
chr1	234593412	234608557	-	hsa_circ_31694
chr1	235409734	235424067	-	hsa_circ_26299
chr1	235416044	235424067	-	hsa_circ_0008531
chr1	235634163	235647831	-	hsa_circ_01194
chr1	235643369	235658138	-	hsa_circ_0002343
chr1	235993525	235996967	-	hsa_circ_05417
chr1	241031886	241033419	-	hsa_circ_28253
chr1	241031886	241100006	-	hsa_circ_03094
chr1	241094016	241100006	-	hsa_circ_0007091
chr1	243362361	243388623	-	hsa_circ_0009111
chr1	243385025	243388623	-	hsa_circ_0005749
chr1	243675625	243736350	-	hsa_circ_0002240
chr1	243708811	243736350	-	hsa_circ_0000199
chr1	243776972	243801044	-	hsa_circ_0006696
chr1	243708811	243859018	-	hsa_circ_22676
chr1	243708811	244006584	-	hsa_circ_07254
chr1	243776972	244006584	-	hsa_circ_14377
chr1	243858892	244006584	-	hsa_circ_21765
chr1	246021797	246027188	-	hsa_circ_14091
chr1	246021797	246093239	-	hsa_circ_08957
chr1	246078831	246093239	-	hsa_circ_07001
chr1	246490502	246498776	-	hsa_circ_22864
chr1	246490502	246518396	-	hsa_circ_0005034
chr1	247039338	247040604	-	hsa_circ_0006097
chr1	247048794	247051819	-	hsa_circ_0002288
chr1	247076533	247081679	-	hsa_circ_14679
chr1	247322307	247323115	-	hsa_circ_19742
chr1	247471776	247473758	-	hsa_circ_04535
chr1	2066700	2082417	+	hsa_circ_25811
chr1	2066700	2087531	+	hsa_circ_10099
chr1	2234416	2236024	+	hsa_circ_15927
chr1	4771959	4772759	+	hsa_circ_01723
chr1	6676816	6680397	+	hsa_circ_0000011
chr1	7837219	7838229	+	hsa_circ_18051
chr1	9415801	9416644	+	hsa_circ_32561
chr1	10155518	10165802	+	hsa_circ_01701
chr1	10177516	10179671	+	hsa_circ_04863
chr1	10177516	10195244	+	hsa_circ_21515
chr1	10195045	10197263	+	hsa_circ_0006955
chr1	10327437	10328321	+	hsa_circ_0002002
chr1	10331559	10335561	+	hsa_circ_25339
chr1	10292307	10338186	+	hsa_circ_16372
chr1	10335485	10342591	+	hsa_circ_00114
chr1	10351139	10357304	+	hsa_circ_14616
chr1	10423340	10425706	+	hsa_circ_19884
chr1	10463127	10468197	+	hsa_circ_32383
chr1	11883763	11887278	+	hsa_circ_27081
chr1	12061457	12062160	+	hsa_circ_01679
chr1	12335881	12338095	+	hsa_circ_00238
chr1	12359258	12364785	+	hsa_circ_29299
chr1	12359258	12368698	+	hsa_circ_05455
chr1	12382592	12389975	+	hsa_circ_0007588
chr1	12460237	12476880	+	hsa_circ_0004222
chr1	12516053	12520451	+	hsa_circ_24403
chr1	14057494	14068652	+	hsa_circ_28140
chr1	14042035	14075982	+	hsa_circ_13997
chr1	14057494	14075982	+	hsa_circ_0004861
chr1	15862969	15863309	+	hsa_circ_07716
chr1	15860731	15863309	+	hsa_circ_07475
chr1	15860731	15874923	+	hsa_circ_0009118
chr1	15964801	15970145	+	hsa_circ_18547
chr1	15953163	15970145	+	hsa_circ_01914
chr1	15956819	15978390	+	hsa_circ_28953
chr1	15964801	15978390	+	hsa_circ_02958
chr1	15976214	15978390	+	hsa_circ_0004095
chr1	16044387	16046415	+	hsa_circ_01977
chr1	16044387	16047883	+	hsa_circ_0000021
chr1	16046228	16047883	+	hsa_circ_0002733
chr1	16199310	16203173	+	hsa_circ_14395
chr1	17907047	17914974	+	hsa_circ_15970
chr1	17975048	17983203	+	hsa_circ_20528
chr1	22404921	22413359	+	hsa_circ_0005576
chr1	22816372	22818026	+	hsa_circ_0007418
chr1	23107913	23111569	+	hsa_circ_14519
chr1	23189529	23191705	+	hsa_circ_0002720
chr1	23356961	23377013	+	hsa_circ_07818
chr1	23356961	23380332	+	hsa_circ_08112
chr1	23356961	23385660	+	hsa_circ_29872
chr1	23376879	23385660	+	hsa_circ_21852
chr1	23381561	23395644	+	hsa_circ_08847
chr1	24840803	24841057	+	hsa_circ_22201
chr1	24857707	24859744	+	hsa_circ_19025
chr1	25666964	25669564	+	hsa_circ_16811
chr1	25666964	25678184	+	hsa_circ_0007054
chr1	25880412	25883758	+	hsa_circ_27161
chr1	26581661	26582356	+	hsa_circ_24941
chr1	26581661	26586293	+	hsa_circ_0002868
chr1	26584087	26586293	+	hsa_circ_07591
chr1	26772806	26774151	+	hsa_circ_19894
chr1	26774049	26786635	+	hsa_circ_0008614
chr1	26784281	26786635	+	hsa_circ_23008
chr1	27056141	27059283	+	hsa_circ_17116
chr1	27087346	27089776	+	hsa_circ_09021
chr1	27267947	27268309	+	hsa_circ_32045
chr1	27269150	27269556	+	hsa_circ_10313
chr1	28075578	28081841	+	hsa_circ_0006585
chr1	28116072	28120143	+	hsa_circ_23313
chr1	28800065	28800663	+	hsa_circ_0002909
chr1	28800065	28802803	+	hsa_circ_05445
chr1	28802618	28807116	+	hsa_circ_08953
chr1	29068914	29070498	+	hsa_circ_03011
chr1	29319841	29344954	+	hsa_circ_31017
chr1	29362337	29365938	+	hsa_circ_22064
chr1	31810021	31811895	+	hsa_circ_00619
chr1	31810021	31821821	+	hsa_circ_10256
chr1	31819486	31821821	+	hsa_circ_15249
chr1	32495898	32498935	+	hsa_circ_01749
chr1	32502510	32504220	+	hsa_circ_23660
chr1	32495898	32504220	+	hsa_circ_32482
chr1	32502510	32505174	+	hsa_circ_00745
chr1	32495898	32510991	+	hsa_circ_01358
chr1	32557275	32566163	+	hsa_circ_0006349
chr1	32560384	32566163	+	hsa_circ_14791
chr1	32628835	32632897	+	hsa_circ_0003880
chr1	32653554	32653725	+	hsa_circ_0006994
chr1	32653554	32655850	+	hsa_circ_07163
chr1	32694099	32694809	+	hsa_circ_0004240
chr1	32792539	32793278	+	hsa_circ_0005339
chr1	33058531	33059355	+	hsa_circ_04730
chr1	33058531	33060824	+	hsa_circ_0002306
chr1	33133825	33135164	+	hsa_circ_0009103
chr1	33133825	33138502	+	hsa_circ_0008672
chr1	33760537	33760906	+	hsa_circ_15893
chr1	35824525	35827390	+	hsa_circ_31531
chr1	35846859	35847359	+	hsa_circ_16257
chr1	35846859	35854683	+	hsa_circ_30294
chr1	35846859	35855699	+	hsa_circ_12083
chr1	35857812	35865177	+	hsa_circ_09639
chr1	35846859	35871069	+	hsa_circ_08336
chr1	35879572	35881315	+	hsa_circ_20238
chr1	36288462	36292436	+	hsa_circ_10896
chr1	36282482	36292436	+	hsa_circ_05492
chr1	36282482	36301594	+	hsa_circ_28844
chr1	36290913	36301594	+	hsa_circ_03309
chr1	36367548	36367938	+	hsa_circ_05216
chr1	36372535	36384024	+	hsa_circ_25109
chr1	36411292	36439112	+	hsa_circ_0003435
chr1	36432555	36439112	+	hsa_circ_0002828
chr1	36505390	36506042	+	hsa_circ_28928
chr1	36505390	36509149	+	hsa_circ_12514
chr1	36636571	36639079	+	hsa_circ_0004093
chr1	39463842	39466778	+	hsa_circ_24587
chr1	39696853	39723700	+	hsa_circ_0008939
chr1	39752957	39753234	+	hsa_circ_16426
chr1	39851105	39854330	+	hsa_circ_18628
chr1	39900085	39905172	+	hsa_circ_0005788
chr1	39904945	39905172	+	hsa_circ_04115
chr1	39913103	39914435	+	hsa_circ_0002104
chr1	40422758	40424497	+	hsa_circ_13852
chr1	40529898	40530231	+	hsa_circ_22775
chr1	40654726	40668286	+	hsa_circ_12622
chr1	40656443	40668286	+	hsa_circ_00853
chr1	40733457	40737707	+	hsa_circ_06919
chr1	40872407	40875507	+	hsa_circ_09236
chr1	41463065	41466789	+	hsa_circ_14212
chr1	41474465	41475261	+	hsa_circ_19091
chr1	41474465	41475926	+	hsa_circ_19503
chr1	44054401	44058272	+	hsa_circ_0004335
chr1	44137175	44149475	+	hsa_circ_18629
chr1	44290402	44303983	+	hsa_circ_27795
chr1	44360054	44365399	+	hsa_circ_11911
chr1	44386075	44386600	+	hsa_circ_0006595
chr1	44877652	44878394	+	hsa_circ_00849
chr1	45223227	45223812	+	hsa_circ_06917
chr1	45223227	45226374	+	hsa_circ_0002952
chr1	46032240	46032692	+	hsa_circ_29404
chr1	46080684	46082065	+	hsa_circ_02159
chr1	47834140	47840965	+	hsa_circ_0008201
chr1	47840580	47840965	+	hsa_circ_0004741
chr1	52211207	52231653	+	hsa_circ_26876
chr1	52215816	52231653	+	hsa_circ_26943
chr1	52215816	52237854	+	hsa_circ_0008811
chr1	52237741	52238395	+	hsa_circ_11625
chr1	53245524	53262456	+	hsa_circ_0004989
chr1	53322669	53329829	+	hsa_circ_04555
chr1	53326402	53333449	+	hsa_circ_0008430
chr1	55186835	55197373	+	hsa_circ_19837
